N_SOIL,P_SOIL,K_SOIL,TEMPERATURE,HUMIDITY,ph,RAINFALL,CROP_PRICE,CROP,STATE
60,44,23,24.8,70,5.7,76.7,1387,Maize,Gujarat
74,48,17,21.6,60.3,6.4,69.2,3755,Maize,Gujarat
89,60,17,25.4,57.2,6,101.7,1182,Maize,Gujarat
69,51,23,22.2,72.9,6.8,106.6,2927,Maize,Gujarat
96,46,22,20.6,69,6.5,66.3,1475,Maize,Gujarat
61,60,15,24.9,68.7,6.3,91.3,3005,Maize,Gujarat
74,58,18,20,56.4,6.7,109,3147,Maize,Gujarat
74,43,23,26,61.9,6.3,99.6,1387,Maize,Gujarat
63,43,17,19.3,65.5,6.8,71.3,5025,Maize,Gujarat
99,36,20,20.6,65.3,6.7,78.3,1050,Maize,Gujarat
77,36,23,24.7,56.7,6.6,88.5,650,Maize,Gujarat
87,60,23,20.3,63.9,6.4,62.5,950,Maize,Gujarat
60,38,17,18.4,64.2,6.5,76.4,2250,Maize,Gujarat
94,54,17,23.4,61.7,5.9,107.3,2500,Maize,Gujarat
95,38,22,19.8,61.2,5.7,100.8,2000,Maize,Gujarat
84,44,21,21.9,61.9,5.9,107.3,5200,Maize,Gujarat
77,58,19,22.8,56.5,5.8,101.6,3350,Maize,Gujarat
66,44,20,19.1,69,6.7,80.7,1697,Maize,Gujarat
63,35,16,22,65.4,6.3,83.7,2850,Maize,Gujarat
79,45,20,23.8,59.2,5.7,90,2750,Maize,Gujarat
72,60,25,18.5,69,5.8,88.1,1400,Maize,Gujarat
67,51,24,23.5,61.3,5.6,64.8,1300,Maize,Gujarat
86,36,24,26.5,72.9,5.8,73.3,5400,Maize,Gujarat
76,48,18,19.3,69.6,5.8,83.2,5400,Maize,Gujarat
75,53,18,20.7,59.4,6.9,103.7,5400,Maize,Gujarat
81,45,23,19.3,68,6.2,84.2,5400,Maize,Gujarat
73,45,21,24.6,73.6,6.6,96.6,3800,Maize,Gujarat
71,35,24,22.3,59.5,5.8,68,3800,Maize,Gujarat
96,54,22,25.7,61.3,7,83.2,1750,Maize,Gujarat
99,39,18,19.2,68.3,6.1,87.9,750,Maize,Gujarat
62,48,20,21.7,60.5,6.7,95.7,850,Maize,Gujarat
86,37,16,20.5,59.2,5.6,67.6,1250,Maize,Gujarat
94,50,19,23.3,73.6,5.9,97.6,3000,Maize,Gujarat
76,39,24,24.3,55.6,7,64.2,3300,Maize,Gujarat
77,52,17,24.9,65.7,5.7,75.8,1750,Maize,Gujarat
74,39,23,22.6,65.8,6.8,88.2,1400,Maize,Gujarat
81,49,20,18,60.6,5.5,104.2,1650,Maize,Gujarat
63,42,21,23.3,72.3,5.8,67.1,6300,Maize,Gujarat
99,38,21,22.9,71.6,6.4,67.7,3000,Maize,Gujarat
90,52,25,26,69.4,6.8,103.2,2100,Maize,Gujarat
68,40,19,26.1,66.2,6.7,107.2,750,Maize,Gujarat
60,57,24,18.7,61.6,6.1,75,4150,Maize,Gujarat
71,52,18,25.1,56,5.8,78.2,850,Maize,Gujarat
61,59,17,23.3,59.2,6.5,105,1300,Maize,Gujarat
88,38,15,25.1,65.9,6.5,62.5,600,Maize,Gujarat
65,60,22,25.4,72.5,6.6,107.9,850,Maize,Gujarat
78,37,22,25.3,63.3,6.3,74.5,1600,Maize,Gujarat
78,58,15,25,67.8,6.5,62.9,3000,Maize,Gujarat
92,60,23,18.7,71.5,5.7,69.9,700,Maize,Gujarat
79,59,17,20.4,63.7,6.6,108.5,950,Maize,Gujarat
91,55,15,18.1,72.6,6.4,79,850,Maize,Gujarat
76,51,18,26.2,72,6.2,79.8,475,Maize,Gujarat
87,48,25,18.7,61.4,6.7,93.6,1950,Maize,Gujarat
71,60,22,26.1,59.4,6.2,85.8,2500,Maize,Gujarat
90,57,24,18.9,72.8,6.2,82.3,1700,Maize,Gujarat
67,35,22,23.3,63.2,6.4,108.8,1350,Maize,Gujarat
60,54,19,18.7,62.5,6.4,70.2,5875,Maize,Gujarat
83,58,23,19.7,59.7,6.4,65.5,1375,Maize,Gujarat
83,57,19,25.7,70.7,6.9,98.7,5250,Maize,Gujarat
40,72,77,17,17,7.5,88.6,2875,ChickPea,Gujarat
23,72,84,19,17.1,6.9,79.9,3000,ChickPea,Haryana
39,58,85,17.9,15.4,6,68.5,3000,ChickPea,Haryana
22,72,85,18.9,15.7,6.4,88.5,700,ChickPea,Haryana
36,67,77,18.4,19.6,7.2,79.3,1805,ChickPea,Haryana
32,73,81,20.5,15.4,6,92.7,3000,ChickPea,Haryana
58,70,84,20.7,16.6,6.2,74.7,8000,ChickPea,Haryana
59,70,84,17.3,18.7,7.6,82.6,4000,ChickPea,Haryana
42,62,75,18.2,18.9,7,81.8,5000,ChickPea,Haryana
28,74,81,18,18.3,8.8,82,1500,ChickPea,Haryana
58,66,79,21,19.3,8.7,93.6,1000,ChickPea,Haryana
43,66,79,19.5,15.2,8,74.6,1410,ChickPea,Haryana
58,63,81,19.8,14.7,6.5,79,1200,ChickPea,Haryana
23,62,85,19,19.5,8.5,80.7,325,ChickPea,Haryana
27,62,77,18.2,14.7,6.6,70.2,600,ChickPea,Haryana
28,72,84,18.7,19.2,6.5,71.6,715,ChickPea,Haryana
50,56,76,21,19.9,8,73.5,5000,ChickPea,Haryana
39,71,84,20.3,16.4,8.1,82.5,450,ChickPea,Haryana
25,78,76,17.5,15.8,7.2,67,450,ChickPea,Haryana
31,70,77,20.9,14.3,6.5,90.5,2000,ChickPea,Haryana
26,80,83,17.1,16.1,7.5,71.3,4000,ChickPea,Haryana
25,68,77,20.1,15.1,7.7,85.7,2900,ChickPea,Haryana
31,78,76,17.6,15,8.5,89.3,1250,ChickPea,Haryana
60,68,83,19.1,18.4,6.6,85.5,2000,ChickPea,Haryana
59,62,83,18.6,19.2,8.1,72.9,900,ChickPea,Haryana
22,67,78,17.2,14.4,6.2,72.3,4500,ChickPea,Haryana
36,65,80,18.3,16.7,6.1,74.9,550,ChickPea,Haryana
59,60,84,19,18.7,7.7,94.7,900,ChickPea,Haryana
54,77,85,17.1,17.1,7.8,83.7,1750,ChickPea,Haryana
43,68,81,17.5,17.9,6.8,78.9,3000,ChickPea,Haryana
28,76,82,20.6,14.3,6.7,83.8,2700,ChickPea,Haryana
42,79,85,17.2,15.8,6.1,76.6,550,ChickPea,Haryana
32,60,83,19.7,19.4,8.8,91.8,400,ChickPea,Haryana
22,78,76,17.8,19.1,8.6,76.3,1450,ChickPea,Haryana
31,79,75,18.8,16.1,8.2,89.7,1400,ChickPea,Haryana
28,58,81,17.5,16.5,6.2,93.4,3500,ChickPea,Haryana
57,58,77,18.7,17.6,8,81.2,1000,ChickPea,Haryana
49,55,78,18.7,16.2,7.9,81.7,2200,ChickPea,Haryana
46,76,77,18.2,19.7,7,83.7,1650,ChickPea,Haryana
54,61,77,18.8,15.2,6.2,77.5,1500,ChickPea,Haryana
38,60,76,18.7,17.8,8.9,77.9,4250,ChickPea,Haryana
59,55,79,20.4,16.9,8.8,82.3,650,ChickPea,Haryana
36,76,75,18.4,16.6,8.7,70.5,750,ChickPea,Haryana
57,68,81,17.2,17.3,8.1,72.8,750,ChickPea,Haryana
35,66,81,19.4,15.8,6.1,85.2,1550,ChickPea,Haryana
35,64,78,17.9,14.3,7.5,85.4,1500,ChickPea,Haryana
52,60,79,19.5,18.2,8.4,75.6,296,ChickPea,Haryana
27,76,83,19.1,14.9,6.3,89.6,8000,ChickPea,Haryana
57,60,84,19.1,17.3,6.6,75.5,2000,ChickPea,Haryana
52,68,78,17.5,17,6.9,86.1,1300,ChickPea,Haryana
43,79,79,19.4,19,7.8,80.3,6000,ChickPea,Haryana
44,74,85,20.2,19.6,7.2,78.3,700,ChickPea,Haryana
24,55,78,17.3,15.2,6.6,75.6,3500,ChickPea,Haryana
29,77,75,17.5,15.5,7.8,72.9,3000,ChickPea,Haryana
20,60,78,18.2,14.7,6.4,90.8,9000,ChickPea,Haryana
56,67,78,17.6,16.7,8.3,77.8,3000,ChickPea,Haryana
37,66,85,20.9,18.9,6.5,78.1,1500,ChickPea,Haryana
49,71,76,19.7,17.6,6.6,85.6,3000,ChickPea,Haryana
59,69,80,19.1,17.9,8.2,69.4,5000,ChickPea,Haryana
20,79,77,18.5,16,7.6,76.3,700,ChickPea,Haryana
24,56,85,18.2,17.4,6.5,80.6,800,ChickPea,Haryana
51,72,75,18.9,15,7.1,80.1,1500,ChickPea,Haryana
57,73,85,18.5,14.7,7.4,91.9,800,ChickPea,Haryana
22,64,82,19.5,17.2,6.5,87.5,1500,ChickPea,Haryana
52,73,79,17.3,18.7,7.8,94,1000,ChickPea,Haryana
29,75,75,19.6,18.7,7.1,88.5,1500,ChickPea,Haryana
44,59,78,20.7,19.9,7.6,84.8,7500,ChickPea,Himachal Pradesh
41,69,82,20,16.6,6.7,69,2800,ChickPea,Himachal Pradesh
52,56,85,20.1,14.4,6.8,88.7,2500,ChickPea,Himachal Pradesh
34,76,80,20.7,15.8,8,65.2,800,ChickPea,Himachal Pradesh
42,74,83,19.3,14.3,7.5,65.8,4800,ChickPea,Himachal Pradesh
34,71,79,17.9,15.9,7.7,74.6,1000,ChickPea,Himachal Pradesh
27,73,79,19.2,15.8,7.4,82.7,1000,ChickPea,Himachal Pradesh
30,70,79,20.3,20,7.3,69.6,2500,ChickPea,Himachal Pradesh
57,57,75,17.1,18.3,7.8,87.3,2200,ChickPea,Himachal Pradesh
27,79,82,17.1,17.5,6.3,70.9,1800,ChickPea,Himachal Pradesh
32,71,85,20.6,14.4,6.4,92.1,7500,ChickPea,Himachal Pradesh
31,76,82,20.8,17.9,7.6,79.2,800,ChickPea,Himachal Pradesh
33,75,84,19.5,18.7,7.2,68.8,600,ChickPea,Himachal Pradesh
47,80,77,17.2,16.4,7.6,72.9,1500,ChickPea,Himachal Pradesh
54,62,80,17.5,16.4,7.5,79.5,2000,ChickPea,Himachal Pradesh
47,79,78,17.5,14.8,6.6,65.1,5000,ChickPea,Himachal Pradesh
35,57,83,19.5,17.4,7.5,80.5,2400,ChickPea,Himachal Pradesh
53,73,77,19.7,18.1,7.3,73.6,4250,ChickPea,Himachal Pradesh
45,61,78,19.5,16.1,6.5,81.5,2250,ChickPea,Himachal Pradesh
37,78,79,20,14.8,7.8,88.7,1350,ChickPea,Himachal Pradesh
30,75,81,19.4,16.8,6.4,68.5,450,ChickPea,Himachal Pradesh
37,55,82,19.5,18,8.4,78.4,4250,ChickPea,Himachal Pradesh
53,65,76,20.2,16.4,8.7,77.3,650,ChickPea,Himachal Pradesh
22,60,85,18.8,14.7,7.8,94.8,1350,ChickPea,Himachal Pradesh
60,61,78,20.7,19.8,6.3,94,1350,ChickPea,Himachal Pradesh
42,67,77,19,15.9,7.1,78.7,3900,ChickPea,Himachal Pradesh
39,76,76,20,15.6,8.1,69.2,8750,ChickPea,Himachal Pradesh
35,63,76,17.8,17.6,7.7,90.8,4250,ChickPea,Himachal Pradesh
30,65,82,20.7,15.3,7.1,76.8,6250,ChickPea,Himachal Pradesh
57,56,78,17.3,18.8,8.9,68,1600,ChickPea,Himachal Pradesh
48,65,78,17.4,14.3,7.9,73.1,3900,ChickPea,Himachal Pradesh
36,56,83,18.9,19.8,7.5,69.1,9500,ChickPea,Himachal Pradesh
40,58,75,18.6,14.8,7.2,89.6,950,ChickPea,Himachal Pradesh
49,69,82,18.3,15.4,7.3,81.8,3750,ChickPea,Himachal Pradesh
13,60,25,17.1,20.6,5.7,128.3,750,KidneyBeans,Himachal Pradesh
25,70,16,19.6,18.9,5.8,106.4,3250,KidneyBeans,Himachal Pradesh
31,55,22,22.9,21.3,5.9,109.2,2250,KidneyBeans,Himachal Pradesh
40,64,16,16.4,24.2,5.9,140.4,1650,KidneyBeans,Himachal Pradesh
2,61,20,22.1,23,6,76.6,2250,KidneyBeans,Himachal Pradesh
26,65,22,17.8,18.8,5.9,143.1,4250,KidneyBeans,Himachal Pradesh
17,57,21,19.9,20.3,5.8,60.9,750,KidneyBeans,Himachal Pradesh
26,80,18,19.3,23.3,5.6,104.8,550,KidneyBeans,Himachal Pradesh
17,59,17,18.4,23.4,5.7,133,950,KidneyBeans,Himachal Pradesh
27,59,22,21.8,23.2,5.8,130.1,2350,KidneyBeans,Himachal Pradesh
28,58,24,19.7,18.3,5.7,143.8,8000,KidneyBeans,Himachal Pradesh
25,57,19,17.2,19.9,5.6,88,2500,KidneyBeans,Himachal Pradesh
28,80,17,19.6,18.7,5.8,144.2,6500,KidneyBeans,Himachal Pradesh
25,60,22,21.6,21.2,5.9,134.4,3000,KidneyBeans,Himachal Pradesh
12,78,23,16.1,18.7,6,88.1,2500,KidneyBeans,Himachal Pradesh
6,77,25,20.6,24.4,5.8,69.6,900,KidneyBeans,Himachal Pradesh
22,79,17,21.4,20.4,5.9,116.5,4500,KidneyBeans,Himachal Pradesh
27,80,15,19.1,21.2,5.8,86.2,900,KidneyBeans,Himachal Pradesh
10,55,23,21.2,19.6,5.7,137.2,1100,KidneyBeans,Himachal Pradesh
23,65,20,23,22.4,5.8,108.4,5500,KidneyBeans,Himachal Pradesh
19,78,16,20.7,23.1,6,67.7,5500,KidneyBeans,Himachal Pradesh
19,65,25,18.1,18.3,5.6,144.8,9000,KidneyBeans,Himachal Pradesh
22,70,19,18.2,21.1,5.5,69.4,7000,KidneyBeans,Himachal Pradesh
37,64,22,17.5,18.8,6,121.9,5000,KidneyBeans,Himachal Pradesh
11,71,17,19.9,21.5,5.7,82.7,4500,KidneyBeans,Himachal Pradesh
18,79,20,20.3,23.2,5.9,139.8,2200,KidneyBeans,Himachal Pradesh
21,63,17,15.8,19.2,6,108.3,5500,KidneyBeans,Himachal Pradesh
24,80,22,16.7,19.2,5.6,96.8,20000,KidneyBeans,Himachal Pradesh
34,60,22,17.7,18.2,5.6,100.7,5500,KidneyBeans,Himachal Pradesh
16,75,21,18.5,23.6,5.7,87.1,1100,KidneyBeans,Himachal Pradesh
17,77,23,24.5,20.8,5.7,64.2,4500,KidneyBeans,Himachal Pradesh
37,72,18,18.9,24.5,5.7,105.4,2500,KidneyBeans,Himachal Pradesh
40,73,20,21.6,20.3,5.8,61.1,1800,KidneyBeans,Himachal Pradesh
9,77,17,20.1,24.5,5.8,106.2,4000,KidneyBeans,Himachal Pradesh
1,62,23,15.4,18.4,5.6,139,7500,KidneyBeans,Himachal Pradesh
33,59,22,22.6,21.6,5.9,122.4,800,KidneyBeans,Himachal Pradesh
23,59,19,22,24.9,5.9,129.6,1700,KidneyBeans,Himachal Pradesh
6,62,22,20.5,18.1,5.8,120.5,800,KidneyBeans,Himachal Pradesh
25,63,20,15.8,21.1,5.5,95.2,1700,KidneyBeans,Himachal Pradesh
7,79,23,19.6,19.7,5.8,96.7,2200,KidneyBeans,Himachal Pradesh
8,72,17,20.6,19.8,5.7,87.9,1200,KidneyBeans,Himachal Pradesh
27,64,15,20.2,24.8,5.5,138.2,2370,KidneyBeans,Himachal Pradesh
28,66,23,21.5,24.3,6,120.7,5650,KidneyBeans,Himachal Pradesh
32,57,18,15.5,23.8,5.7,107.4,2600,KidneyBeans,Himachal Pradesh
27,56,22,19.9,20.7,5.8,108.6,2500,KidneyBeans,Himachal Pradesh
17,77,24,20.8,18.9,5.6,109,900,KidneyBeans,Himachal Pradesh
0,65,15,23.5,23.2,5.6,95.8,5650,KidneyBeans,Himachal Pradesh
13,72,21,24.3,21,5.8,60.3,1150,KidneyBeans,Himachal Pradesh
34,60,23,20.1,25,5.7,100,1650,KidneyBeans,Himachal Pradesh
9,80,19,21.8,18.6,5.9,125.1,1300,KidneyBeans,Himachal Pradesh
11,72,20,19.5,24.9,6,113.3,4800,KidneyBeans,Himachal Pradesh
3,67,24,17,19.9,5.5,103.3,5250,KidneyBeans,Himachal Pradesh
35,69,23,16.8,25,5.6,75.5,5300,KidneyBeans,Himachal Pradesh
3,77,25,24.8,22.9,5.6,62.2,9800,KidneyBeans,Himachal Pradesh
23,62,19,16.5,20.5,5.6,98.8,7500,KidneyBeans,Himachal Pradesh
22,71,17,18.2,19.4,5.5,107.7,6300,KidneyBeans,Himachal Pradesh
31,79,25,23.2,22.3,5.9,63.4,6150,KidneyBeans,Himachal Pradesh
34,59,18,23.4,22,5.7,87.7,2650,KidneyBeans,Himachal Pradesh
12,63,17,18.4,19.4,5.7,138.4,6500,KidneyBeans,Himachal Pradesh
27,56,20,19.3,20.5,5.5,95,1250,KidneyBeans,Himachal Pradesh
7,63,24,23,24,5.9,107.7,2900,KidneyBeans,Himachal Pradesh
24,67,22,20.1,22.9,5.6,104.6,2650,KidneyBeans,Himachal Pradesh
11,71,24,21.1,22.7,5.6,141.6,1400,KidneyBeans,Himachal Pradesh
37,74,15,24.9,18.2,5.6,62.7,1750,KidneyBeans,Himachal Pradesh
25,76,24,15.3,24.9,5.6,135.3,700,KidneyBeans,Himachal Pradesh
34,66,17,18.8,21.3,5.9,125.1,900,KidneyBeans,Himachal Pradesh
20,69,15,23.4,22.8,5.9,107.4,1900,KidneyBeans,Himachal Pradesh
37,65,16,22.8,19,5.7,63.6,2550,KidneyBeans,Himachal Pradesh
18,74,15,24.9,22.3,5.7,146.5,800,KidneyBeans,Jammu and Kashmir
4,67,25,23.8,24.4,5.9,119.6,1600,KidneyBeans,Jammu and Kashmir
37,56,25,22.1,19.6,5.8,126.7,1250,KidneyBeans,Jammu and Kashmir
5,59,15,18.9,20.2,6,134.2,3600,KidneyBeans,Karnataka
11,61,21,18.6,23,5.5,135.3,1600,KidneyBeans,Karnataka
22,80,20,23,18.9,5.7,100.1,3400,KidneyBeans,Karnataka
12,61,19,19.3,24.1,5.7,68.5,3800,KidneyBeans,Karnataka
5,74,21,16.2,21.4,5.6,67,1300,KidneyBeans,Karnataka
27,69,22,17.9,24.9,5.9,69.1,1400,KidneyBeans,Karnataka
31,75,18,15.5,21.4,5.8,88.9,1600,KidneyBeans,Karnataka
36,68,20,17.1,23.8,5.9,81.8,5500,KidneyBeans,Karnataka
5,65,16,21.3,18.5,5.9,109.1,1750,KidneyBeans,Karnataka
32,79,15,23.9,20.7,5.7,81.6,2900,KidneyBeans,Karnataka
11,78,22,23.9,22.7,5.9,112.7,5500,KidneyBeans,Karnataka
0,55,22,23,20.6,5.9,143.9,2900,KidneyBeans,Karnataka
14,59,15,21.4,22.9,5.8,146.5,3800,KidneyBeans,Karnataka
